,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
M. Sarza,CSJL,6.4333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-8.0,1.0,2.0
E. Galoy,CSJL,17.2333333333,1.0,5.0,20.0,1.0,3.0,33.333333333333336,0.0,2.0,0.0,3.0,4.0,75.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,5.0,-20.0,2.0,3.0
J. Miller,CSJL,220.7,29.0,63.0,46.03174603174603,21.0,39.0,53.84615384615385,8.0,24.0,33.333333333333336,41.0,49.0,83.6734693877551,107.0,10.0,28.0,38.0,25.0,25.0,15.0,0.0,15.0,16.0,47.0,-3.0,7.0,14.0
J. Nunag,CSJL,211.91666666670002,22.0,47.0,46.808510638297875,20.0,40.0,50.0,2.0,7.0,28.571428571428573,6.0,12.0,50.0,52.0,11.0,54.0,65.0,7.0,13.0,4.0,6.0,10.0,28.0,10.0,51.0,7.0,15.0
R. Go,CSJL,102.5833333333,13.0,31.0,41.935483870967744,13.0,25.0,52.0,0.0,6.0,0.0,15.0,21.0,71.42857142857143,41.0,9.0,16.0,25.0,4.0,3.0,1.0,2.0,3.0,12.0,16.0,-8.0,4.0,10.0
J. Devera,EAC,18.5833333332,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,0.0,5.0,6.0,2.0,-10.0,2.0,6.0
J. Luciano,EAC,195.1666666669,17.0,42.0,40.476190476190474,11.0,27.0,40.74074074074074,6.0,15.0,40.0,5.0,10.0,50.0,45.0,9.0,28.0,37.0,8.0,10.0,1.0,0.0,1.0,18.0,13.0,-79.0,7.0,14.0
N. Ochavo,EAC,215.7166666667,18.0,64.0,28.125,9.0,35.0,25.714285714285715,9.0,29.0,31.03448275862069,24.0,35.0,68.57142857142857,69.0,22.0,19.0,41.0,55.0,19.0,14.0,0.0,14.0,19.0,38.0,70.0,7.0,14.0
J. Manacho,EAC,39.550000000100006,4.0,11.0,36.36363636363637,4.0,11.0,36.36363636363637,0.0,0.0,0.0,3.0,7.0,42.857142857142854,11.0,1.0,11.0,12.0,2.0,2.0,0.0,1.0,1.0,3.0,6.0,-11.0,5.0,9.0
P. Bagay,EAC,134.0833333333,28.0,55.0,50.90909090909091,24.0,42.0,57.142857142857146,4.0,13.0,30.76923076923077,12.0,22.0,54.54545454545455,72.0,16.0,11.0,27.0,5.0,5.0,1.0,0.0,1.0,14.0,15.0,0.0,7.0,14.0
N. Lucero,EAC,159.8333333333,18.0,80.0,22.5,18.0,68.0,26.470588235294116,0.0,12.0,0.0,20.0,29.0,68.96551724137932,56.0,4.0,17.0,21.0,44.0,29.0,8.0,1.0,9.0,36.0,27.0,-41.0,7.0,13.0
B. Angeles,EAC,52.1666666667,4.0,6.0,66.66666666666667,3.0,3.0,100.0,1.0,3.0,33.333333333333336,0.0,2.0,0.0,9.0,2.0,10.0,12.0,6.0,5.0,0.0,0.0,0.0,9.0,2.0,-30.0,6.0,11.0
G. Quinal,EAC,205.8333333331,37.0,109.0,33.944954128440365,15.0,38.0,39.473684210526315,22.0,71.0,30.985915492957748,10.0,14.0,71.42857142857143,106.0,14.0,18.0,32.0,12.0,12.0,8.0,0.0,8.0,23.0,12.0,45.0,7.0,14.0
R. Postanes,EAC,12.150000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,-10.0,0.0,4.0
J. Bacud,EAC,112.1166666667,11.0,23.0,47.82608695652174,10.0,21.0,47.61904761904762,1.0,2.0,50.0,2.0,7.0,28.571428571428573,25.0,15.0,20.0,35.0,4.0,3.0,3.0,1.0,4.0,9.0,8.0,-1.0,6.0,12.0
G. Loristo,EAC,219.2333333333,24.0,38.0,63.1578947368421,21.0,31.0,67.74193548387096,3.0,7.0,42.857142857142854,14.0,26.0,53.84615384615385,65.0,7.0,34.0,41.0,6.0,14.0,3.0,17.0,20.0,29.0,25.0,-5.0,7.0,14.0
D. Ednilag,EAC,20.683333333300002,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,2.0,6.0,33.333333333333336,8.0,3.0,3.0,6.0,0.0,2.0,1.0,1.0,2.0,8.0,5.0,2.0,1.0,4.0
E. Umpad,EAC,92.19999999979999,6.0,12.0,50.0,6.0,12.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,10.0,10.0,20.0,2.0,12.0,0.0,4.0,4.0,14.0,9.0,-33.0,4.0,11.0
